,"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","MODE OF ACQUISITION 
","BROADCASTE DATE 
","BROADCASTE TIME 
"
66,DMART,Avenue Supermarts Limited,Ramakant Baheti,Director,0.43,5000,12470000,Sell,Equity Shares,2835339,Market Sale,08-Jun-2020,18:46:00
67,DMART,Avenue Supermarts Limited,Rajesh Seth,Employees/Designated Employees,0.01,1750,4260000,Sell,Equity Shares,103750,Market Sale,08-Jun-2020,18:46:00
68,DMART,Avenue Supermarts Limited,Sony Singh,Employees/Designated Employees,0.0,60,150000,Sell,Equity Shares,1327,Market Sale,08-Jun-2020,18:46:00
69,DMART,Avenue Supermarts Limited,Ashu Gupta,Key Managerial Personnel,0.01,200,501500,Sell,Equity Shares,81700,Market Sale,08-Jun-2020,18:46:00
70,DRREDDY,Dr. Reddy's Laboratories Limited,Vansi Krishna PV,Employees/Designated Employees,0.0,600,2418275,Sell,Equity Shares,324,Market Sale,09-Jun-2020,15:15:00
71,DRREDDY,Dr. Reddy's Laboratories Limited,Sunil Kumar Kalra,Employees/Designated Employees,0.0,253,1009851,Sell,Equity Shares,447,Market Sale,09-Jun-2020,15:15:00
72,DRREDDY,Dr. Reddy's Laboratories Limited,Anuj Reddy,Employees/Designated Employees,0.0,600,2409094,Sell,Equity Shares,490,Market Sale,09-Jun-2020,15:15:00
73,DRREDDY,Dr. Reddy's Laboratories Limited,C Nirmala Raju,Employees/Designated Employees,0.0,248,1001636,Sell,Equity Shares,0,Market Sale,09-Jun-2020,15:15:00
74,E2E,E2E Networks Limited,TARUN DUA,Promoters,54.14,38000,858000,Buy,Equity Shares,7824695,Market Purchase,09-Jun-2020,19:21:00
75,ESCORTS,Escorts Limited,SHAILENDRA AGRAWAL,Director,0.01,2410,2404336,Sell,Equity Shares,7590,Market Sale,08-Jun-2020,14:37:00
76,ESCORTS,Escorts Limited,SHAILENDRA AGRAWAL,Director,0.01,7590,7407217,Sell,Equity Shares,0,Market Sale,09-Jun-2020,18:41:00
77,GATI,GATI Limited,MAHENDRA KUMAR AGARWAL and Sons HUF,Promoter Group,0.51,75000,3037500,Pledge Invoke,Equity Shares,546083,Invocation of pledge,08-Jun-2020,15:55:00
78,HDFCBANK,HDFC Bank Limited,Amit Kumar Saraff,Employees/Designated Employees,0.0,1000,1010000,Sell,Equity Shares,7400,Market Sale,09-Jun-2020,18:03:00
79,HDFCBANK,HDFC Bank Limited,Bindumadhav P Tikekar,Employees/Designated Employees,0.01,5000,5193800,Sell,Equity Shares,344722,Market Sale,09-Jun-2020,18:03:00
80,HDFCBANK,HDFC Bank Limited,Ashish Agarwal,Employees/Designated Employees,0.0,2000,2070192,Sell,Equity Shares,66300,Market Sale,09-Jun-2020,18:03:00
81,HDFCBANK,HDFC Bank Limited,Anand Mankodi,Employees/Designated Employees,0.0,1500,1552500,Sell,Equity Shares,203500,Market Sale,09-Jun-2020,18:03:00
82,HDFCBANK,HDFC Bank Limited,Anil L Bhavnani,Employees/Designated Employees,0.01,1500,1595850,Sell,Equity Shares,325430,Market Sale,09-Jun-2020,18:03:00
83,HDFCBANK,HDFC Bank Limited,Munish Mittal,Employees/Designated Employees,0.0,5400,5497442,Sell,Equity Shares,64900,Market Sale,09-Jun-2020,18:03:00
84,HDFCBANK,HDFC Bank Limited,Manish Kumar Agrawal,Employees/Designated Employees,0.0,1000,1062620,Sell,Equity Shares,49406,Market Sale,09-Jun-2020,18:03:00
85,HDFCBANK,HDFC Bank Limited,Ashok Khanna,Other,0.0,45800,47394972,Sell,Equity Shares,12000,Market Sale,09-Jun-2020,18:03:00
86,HDFCBANK,HDFC Bank Limited,Rohit Hariprasad Maroo,Other,0.0,300,1170290,Sell,Equity Shares,121496,Market Sale,09-Jun-2020,18:03:00
87,HDFCBANK,HDFC Bank Limited,Rajesh Sharma,Employees/Designated Employees,0.0,3000,3015000,Sell,Equity Shares,117800,Market Sale,09-Jun-2020,18:03:00
88,HDFCBANK,HDFC Bank Limited,Rakesh Singh,Employees/Designated Employees,0.0,156000,160305600,Sell,Equity Shares,0,Market Sale,09-Jun-2020,18:03:00
89,HDFCBANK,HDFC Bank Limited,Neena Handa,Employees/Designated Employees,0.0,2000,2074000,Sell,Equity Shares,45300,Market Sale,09-Jun-2020,18:03:00
90,HDFCLIFE,HDFC Life Insurance Company Limited,ESHWARI MURUGAN,Employees/Designated Employees,0.0,500,261500,Sell,Equity Shares,91000,Market Sale,08-Jun-2020,20:57:00
91,HDFCLIFE,HDFC Life Insurance Company Limited,ESHWARI MURUGAN,Employees/Designated Employees,0.0,1000,527000,Sell,Equity Shares,91500,Market Sale,08-Jun-2020,20:57:00
92,HDFCLIFE,HDFC Life Insurance Company Limited,Standard Life (Mauritius Holdings) 2006 Limited,Promoters,12.25,40000000,19856000000,Sell,Equity Shares,207311893,Market Sale,08-Jun-2020,20:57:00
93,HDFCLIFE,HDFC Life Insurance Company Limited,ESHWARI MURUGAN,Employees/Designated Employees,0.0,500,260500,Sell,Equity Shares,90500,Market Sale,08-Jun-2020,20:57:00
94,HEROMOTOCO,Hero MotoCorp Limited,Niranjan Kumar Gupta,Key Managerial Personnel,0.0,1674,3991318,Buy,Equity Shares,4866,ESOP,08-Jun-2020,21:25:00
95,ICICIBANK,ICICI Bank Limited,P.SURESH,Employees/Designated Employees,0.0,11000,1955360,Buy,Equity Shares,133000,ESOP,08-Jun-2020,20:17:00
96,JINDALSTEL,Jindal Steel & Power Limited,OPJ TRADING PRIVATE LIMITED,Promoter Group,18.47,829232,120611794,Pledge Revoke,Equity Shares,188413667,Revokation of Pledge,08-Jun-2020,15:21:00
97,JINDALSTEL,Jindal Steel & Power Limited,Opelina Sustainable Services Limited,Promoter Group,13.66,1880000,273446000,Pledge Revoke,Equity Shares,139300393,Revokation of Pledge,08-Jun-2020,15:21:00
98,JINDALSTEL,Jindal Steel & Power Limited,OPJ TRADING PRIVATE LIMITED,Promoter Group,18.47,6320000,805168000,Pledge Revoke,Equity Shares,188413667,Revokation of Pledge,08-Jun-2020,15:21:00
99,JINDALSTEL,Jindal Steel & Power Limited,Gagan Infraenergy Limited,Promoter Group,4.88,1152768,167670106,Pledge Revoke,Equity Shares,49709952,Revokation of Pledge,08-Jun-2020,15:21:00
100,KCP,KCP Limited,S. Rajiv Rangasami,Promoter Group,0.2,20000,767847,Sell,Equity Shares,243327,Market Sale,09-Jun-2020,13:37:00
101,KOTAKBANK,Kotak Mahindra Bank Limited,Jaimin bhatt,Key Managerial Personnel,0.07,10000,13529169,Sell,Equity Shares,1290200,Market Sale,09-Jun-2020,19:06:00
102,KOTAKBANK,Kotak Mahindra Bank Limited,Hemal Vakil,Employees/Designated Employees,0.0,2000,2650000,Sell,Equity Shares,66141,Market Sale,08-Jun-2020,20:54:00
103,KOTAKBANK,Kotak Mahindra Bank Limited,Dipak Gupta,Director,0.06,4387,5907351,Sell,Equity Shares,1155231,Market Sale,08-Jun-2020,20:54:00
104,KOTAKBANK,Kotak Mahindra Bank Limited,D Kannan,Employees/Designated Employees,0.03,20000,27700000,Sell,Equity Shares,665690,Market Sale,08-Jun-2020,20:54:00
105,L&TFH,L&T Finance Holdings Limited,Kailash Kulkarni,Employees/Designated Employees,0.01,200000,12844000,Sell,Equity Shares,100546,Market Sale,09-Jun-2020,16:58:00
106,MAXINDIA,Max India Limited,Max Ventures Investment Holdings Pvt Ltd,Promoter Group,38.55,950000,65835000,Pledge Revoke,Equity Shares,103667976,Revokation of Pledge,08-Jun-2020,18:44:00
107,METROPOLIS,Metropolis Healthcare Limited,Mr. Pradip Dige,Employees/Designated Employees,0.0,185,269447,Sell,Equity Shares,500,Market Sale,08-Jun-2020,20:23:00
108,METROPOLIS,Metropolis Healthcare Limited,Mr. K K Lakshminarayanan,Employees/Designated Employees,0.0,500,716766,Sell,Equity Shares,400,Market Sale,08-Jun-2020,23:01:00
109,METROPOLIS,Metropolis Healthcare Limited,Mr. K K Lakshminarayanan,Employees/Designated Employees,0.0,400,576919,Sell,Equity Shares,0,Market Sale,08-Jun-2020,23:01:00
110,METROPOLIS,Metropolis Healthcare Limited,Mr. Satish Paliwal,Employees/Designated Employees,0.0,50,71697,Sell,Equity Shares,1700,Market Sale,08-Jun-2020,20:23:00
111,METROPOLIS,Metropolis Healthcare Limited,Mr. Tushar Karnik,Other,0.06,2405,3555850,Sell,Equity Shares,27700,Market Sale,08-Jun-2020,20:23:00
112,METROPOLIS,Metropolis Healthcare Limited,Mr. Abhishek Rawka,Other,0.0,500,745000,Sell,Equity Shares,2000,Market Sale,08-Jun-2020,20:23:00
113,METROPOLIS,Metropolis Healthcare Limited,Mr. Jayant Rajani,Employees/Designated Employees,0.0,250,369750,Sell,Equity Shares,1452,Market Sale,08-Jun-2020,20:23:00
114,METROPOLIS,Metropolis Healthcare Limited,Mr. Jayant Rajani,Employees/Designated Employees,0.0,250,369750,Sell,Equity Shares,1702,Market Sale,08-Jun-2020,20:23:00
115,METROPOLIS,Metropolis Healthcare Limited,Mr. Rahul Kawankar,Employees/Designated Employees,0.0,100,146000,Sell,Equity Shares,1463,Market Sale,08-Jun-2020,20:23:00
116,METROPOLIS,Metropolis Healthcare Limited,Mr. Rahul Kawankar,Employees/Designated Employees,0.0,387,556893,Sell,Equity Shares,1563,Market Sale,08-Jun-2020,20:23:00
117,MINDTREE,MindTree Limited,SUBROTO BAGCHI-PROMOTER,Promoters,2.88,40000,37580000,Sell,Equity Shares,4694305,Market Sale,08-Jun-2020,19:00:00
118,MINDTREE,MindTree Limited,Siddarth Krishna Kumar,Promoter Group,0.3,4500,4189500,Sell,Equity Shares,495400,Market Sale,08-Jun-2020,19:10:00
119,MITTAL,Mittal Life Style Limited,Brijeshkumar Jagdishkumar Mittal,Promoters,4.4,35000,4952500,Sell,Equity Shares,481998,Market Sale,09-Jun-2020,16:08:00
120,MITTAL,Mittal Life Style Limited,SUDHA BRIJESHKUMAR MITTAL,Promoters,2.13,46000,6532460,Sell,Equity Shares,204500,Market Sale,09-Jun-2020,16:08:00
121,NESCO,Nesco Limited,CHANDLER & PRICE (I) PVT. LTD.,Promoter Group,27.73,7573,3526308,Buy,Equity Shares,19543500,Market Purchase,08-Jun-2020,17:48:00
122,OLECTRA,Olectra Greentech Limited,L P Sashikumar,Promoters,0.65,500000,108650000,Pledge Revoke,Equity Shares,534350,Revokation of Pledge,08-Jun-2020,16:04:00
123,QUESS,Quess Corp Limited,Ajit Abraham Isaac,Promoters,12.17,17700,5015412,Buy,Equity Shares,17983723,Market Purchase,08-Jun-2020,14:29:00
124,RBLBANK,RBL Bank Limited,SHANTA VALLURY GANDHI,Employees/Designated Employees,0.03,5000,630250,Sell,Equity Shares,150000,Market Sale,09-Jun-2020,17:43:00
125,RBLBANK,RBL Bank Limited,DEEPAK GADDHYAN,Employees/Designated Employees,0.11,150000,18937500,Pledge Revoke,Equity Shares,538237,Revokation of Pledge,09-Jun-2020,17:43:00
126,RBLBANK,RBL Bank Limited,SHANTA VALLURY GANDHI,Employees/Designated Employees,0.03,2696,363960,Sell,Equity Shares,147304,Market Sale,09-Jun-2020,17:43:00
127,RBLBANK,RBL Bank Limited,SHANTA VALLURY GANDHI,Employees/Designated Employees,0.03,5000,683250,Sell,Equity Shares,142304,Market Sale,09-Jun-2020,17:43:00
128,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.47,1000,95500,Buy,Equity Shares,2076158,Market Purchase,09-Jun-2020,19:24:00
129,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.48,1000,95500,Buy,Equity Shares,2077158,Market Purchase,09-Jun-2020,19:24:00
130,RPPL,Rajshreepolypack Limited,Mr. Naresh Radheshyam Thard,Immediate relative,15.21,1000,95500,Buy,Equity Shares,1709178,Market Purchase,09-Jun-2020,19:24:00
131,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.39,3000,286500,Buy,Equity Shares,2069158,Market Purchase,09-Jun-2020,19:24:00
132,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.42,1000,95500,Buy,Equity Shares,2070158,Market Purchase,09-Jun-2020,19:24:00
133,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.43,1000,95500,Buy,Equity Shares,2071158,Market Purchase,09-Jun-2020,19:24:00
134,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.44,1000,95500,Buy,Equity Shares,2072158,Market Purchase,09-Jun-2020,19:24:00
135,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.45,3000,285510,Buy,Equity Shares,2075158,Market Purchase,09-Jun-2020,19:24:00
136,SEQUENT,Sequent Scientific Limited,Chayadeep Ventures LLP,Promoters,10.12,12814935,1114258598,Sell,Equity Shares,12310065,Inter-se-Transfer,09-Jun-2020,17:48:00
137,SEQUENT,Sequent Scientific Limited,Agnus Holdings Private Limited,Promoters,1.85,12814935,1114258598,Buy,Equity Shares,17403447,Inter-se-Transfer,09-Jun-2020,17:48:00
138,SHK,S H Kelkar and Company Limited,Kedar Vaze,Promoters,10.88,1554000,101720797,Buy,Equity Shares,16934614,Market Purchase,08-Jun-2020,17:38:00
139,SOLARA,Solara Active Pharma Sciences Limited,CHAITANYA VAIDYA,Immediate relative,0.05,6400,3530880,Buy,Equity Shares,20000,Market Purchase,08-Jun-2020,10:18:00
140,SRIPIPES,Srikalahasthi Pipes Limited,Mayank Kejriwal,Director,1.31,10000,1687103,Buy,Equity Shares,619976,Market Purchase,09-Jun-2020,10:29:00
141,SUNPHARMA,Sun Pharmaceutical Industries Limited,Sailesh T. Desai,Director,0.12,1110,517149,Pledge,Equity Shares,2610747,Others,08-Jun-2020,16:44:00
142,SUNPHARMA,Sun Pharmaceutical Industries Limited,Shanghvi Finance Private Limied,Promoter Group,40.3,2850000,1408612500,Pledge Revoke,Equity Shares,967051732,Revokation of Pledge,08-Jun-2020,16:44:00
143,SUNPHARMA,Sun Pharmaceutical Industries Limited,Sailesh T. Desai,Director,0.12,708,337645,Pledge,Equity Shares,2610747,Others,08-Jun-2020,16:44:00
144,SYNGENE,Syngene International Limited,Biswajit Banerjiee,Other,0.0,5852,2151195,Buy,Equity Shares,5852,ESOP,09-Jun-2020,17:06:00
145,SYNGENE,Syngene International Limited,Kaustubh Ronghe,Employees/Designated Employees,0.01,3000,1119125,Sell,Equity Shares,25196,Market Sale,08-Jun-2020,19:45:00
146,SYNGENE,Syngene International Limited,Kameswararao A V,Employees/Designated Employees,0.0,6884,2530558,Buy,Equity Shares,17212,ESOP,09-Jun-2020,17:06:00
147,SYNGENE,Syngene International Limited,Mukesh Kamath K,Employees/Designated Employees,0.0,4975,1833287,Buy,Equity Shares,4975,ESOP,09-Jun-2020,17:06:00
148,SYNGENE,Syngene International Limited,Biocon Limited Employee Welfare Trust,Promoter Group,0.42,31367,11534987,Sell,Equity Shares,1632800,ESOP,09-Jun-2020,17:06:00
149,SYNGENE,Syngene International Limited,Akhilesh Nand,Other,0.0,13656,5019945,Buy,Equity Shares,13666,ESOP,09-Jun-2020,17:06:00
150,SYNGENE,Syngene International Limited,Mukesh Kamath,Employees/Designated Employees,0.0,4975,1866264,Sell,Equity Shares,0,Market Sale,09-Jun-2020,17:06:00
151,TCI,Transport Corporation of India Limited,BHAIYA SUMIT KUMAR,Employees/Designated Employees,0.03,1000,162000,Buy,Equity Shares,21000,Market Purchase,09-Jun-2020,16:29:00
152,VBL,Varun Beverages Limited,Vivek Gupta,Promoter Group,0.08,12512,7929019,Sell,Equity Shares,225555,Market Sale,09-Jun-2020,17:53:00
153,VBL,Varun Beverages Limited,RAVI KANT JAIPURIA AND SONS (HUF),Promoters,19.91,2100000,1291500000,Sell,Equity Shares,55381805,Market Sale,09-Jun-2020,18:27:00
154,VGUARD,V-Guard Industries Limited,Nandagopal Nair,Employees/Designated Employees,0.0,5000,933298,Sell,Equity Shares,2326,Market Sale,09-Jun-2020,15:28:00
155,VGUARD,V-Guard Industries Limited,SUDARSHAN KASTURI,Key Managerial Personnel,0.01,13192,2455436,Sell,Equity Shares,16105,Market Sale,09-Jun-2020,15:28:00
156,VMART,V-Mart Retail Limited,Hemant Agarwal HUF,Promoters,1.55,50000,85100000,Sell,Equity Shares,232249,Market Sale,08-Jun-2020,19:24:00
157,VMART,V-Mart Retail Limited,Hemant Agarwal HUF,Promoters,1.69,25000,43006330,Sell,Equity Shares,282249,Market Sale,08-Jun-2020,19:24:00
158,VMART,V-Mart Retail Limited,Smiti Agarwal,Promoters,2.0,50000,85001000,Sell,Equity Shares,313505,Market Sale,08-Jun-2020,19:24:00
159,WHEELS,Wheels India Limited,Sundaram Finance Holdings Limited,Promoters,13.58,1200821,513471060,Buy,Equity Shares,4469917,Inter-se-Transfer,09-Jun-2020,17:31:00
160,WHEELS,Wheels India Limited,Titan Europe Limited,Promoters,20.0,1200821,5134711,Sell,Equity Shares,3612091,Market Sale,09-Jun-2020,17:52:00
161,WONDERLA,Wonderla Holidays Limited,Kochouseph Chittilappilly,Promoters,26.5,7800,1010947,Buy,Equity Shares,14985928,Market Purchase,09-Jun-2020,13:50:00
