Index,index,"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","MODE OF ACQUISITION 
","BROADCASTE DATE AND TIME 
"
160,160,MOTILALOFS,Motilal Oswal Financial Services Limited,Niket A. Shah,Employees/Designated Employees,0.06,34000,20489111,Sell,Equity Shares,47500,Market Sale,10-Jun-2020 20:54
161,161,MOTILALOFS,Motilal Oswal Financial Services Limited,Sunil Kumar Goyal,Employees/Designated Employees,0.0,4000,2263000,Pledge Revoke,Equity Shares,6750,Revokation of Pledge,10-Jun-2020 20:54
162,162,MPHASIS,MphasiS Limited,V SURYANARAYANAN,Employees/Designated Employees,0.0,1000,885000,Sell,Equity Shares,17448,Market Sale,10-Jun-2020 16:19
163,163,NCC,NCC Limited,A V S R HOLDINGS PRIVATE LIMITED,Promoters,8.14,79000,2549700,Buy,Equity Shares,49732278,Market Purchase,10-Jun-2020 16:57
164,164,NCC,NCC Limited,A G K RAJU,Promoters,1.0,157511,5090456,Sell,Equity Shares,5951569,Market Sale,10-Jun-2020 16:57
165,165,NCC,NCC Limited,SIRISHA PROJECTS PRIVATE LIMITEDS,Promoters,1.99,78511,2540756,Buy,Equity Shares,12222669,Market Purchase,10-Jun-2020 16:57
166,166,PIIND,PI Industries Limited,"Mr. Ajay Kumar Sharma, Trustee,",Other,0.11,2364,1608297,Sell,Equity Shares,148861,ESOP,10-Jun-2020 16:30
167,167,QUESS,Quess Corp Limited,Ajit Abraham Isaac,Promoters,12.18,17678,4718534,Buy,Equity Shares,18001401,Market Purchase,10-Jun-2020 13:23
168,168,RBLBANK,RBL Bank Limited,DEEPAK GADDHYAN,Employees/Designated Employees,0.11,150000,18937500,Pledge Revoke,Equity Shares,538237,Revokation of Pledge,09-Jun-2020 17:43
169,169,RBLBANK,RBL Bank Limited,SHANTA VALLURY GANDHI,Employees/Designated Employees,0.03,5000,630250,Sell,Equity Shares,150000,Market Sale,09-Jun-2020 17:43
170,170,RBLBANK,RBL Bank Limited,SHANTA VALLURY GANDHI,Employees/Designated Employees,0.03,5000,683250,Sell,Equity Shares,142304,Market Sale,09-Jun-2020 17:43
171,171,RBLBANK,RBL Bank Limited,SHANTA VALLURY GANDHI,Employees/Designated Employees,0.03,2696,363960,Sell,Equity Shares,147304,Market Sale,09-Jun-2020 17:43
172,172,RPPL,Rajshreepolypack Limited,Mr. Naresh Radheshyam Thard,Immediate relative,15.21,1000,95500,Buy,Equity Shares,1709178,Market Purchase,09-Jun-2020 19:24
173,173,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.44,1000,95500,Buy,Equity Shares,2072158,Market Purchase,09-Jun-2020 19:24
174,174,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.48,1000,95500,Buy,Equity Shares,2077158,Market Purchase,09-Jun-2020 19:24
175,175,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.47,1000,95500,Buy,Equity Shares,2076158,Market Purchase,09-Jun-2020 19:24
176,176,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.39,3000,286500,Buy,Equity Shares,2069158,Market Purchase,09-Jun-2020 19:24
177,177,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.42,1000,95500,Buy,Equity Shares,2070158,Market Purchase,09-Jun-2020 19:24
178,178,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.43,1000,95500,Buy,Equity Shares,2071158,Market Purchase,09-Jun-2020 19:24
179,179,RPPL,Rajshreepolypack Limited,Mr.Ramswaroop Radheshyam Thard,Promoters,18.45,3000,285510,Buy,Equity Shares,2075158,Market Purchase,09-Jun-2020 19:24
180,180,SEQUENT,Sequent Scientific Limited,Agnus Holdings Private Limited,Promoters,1.85,12814935,1114258598,Buy,Equity Shares,17403447,Inter-se-Transfer,09-Jun-2020 17:48
181,181,SEQUENT,Sequent Scientific Limited,Chayadeep Ventures LLP,Promoters,10.12,12814935,1114258598,Sell,Equity Shares,12310065,Inter-se-Transfer,09-Jun-2020 17:48
182,182,SOLARA,Solara Active Pharma Sciences Limited,CHAITANYA VAIDYA,Immediate relative,0.07,2000,1081120,Buy,Equity Shares,22000,Market Purchase,11-Jun-2020 10:26
183,183,SOLARA,Solara Active Pharma Sciences Limited,CHAITANYA VAIDYA,Immediate relative,0.08,2100,1170960,Buy,Equity Shares,24100,Market Purchase,11-Jun-2020 10:26
184,184,SPARC,Sun Pharma Advanced Research Company Limited,Raksha S Valia,Promoter Group,1.58,3400000,494190000,Pledge,Equity Shares,4145231,Off Market,11-Jun-2020 22:28
