SYMBOL,COMPANY,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,% SHAREHOLDING (PRIOR),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),MODE OF ACQUISITION
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.68,19250.0,440428.0,Buy,Equity Shares,3787143,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKA,Director,0.0,10000.0,339830.05,Buy,Equity Shares,10000,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKA,Director,0.03,10000.0,343476.1,Buy,Equity Shares,20000,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKA,Director,0.06,10000.0,344824.46,Buy,Equity Shares,30000,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.09,10000.0,360105.6,Buy,Equity Shares,40000,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.13,11864.0,442494.01,Buy,Equity Shares,57555,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.16,6359.0,238413.31,Buy,Equity Shares,63914,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.19,627.0,23537.5,Buy,Equity Shares,68041,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.18,3500.0,131390.0,Buy,Equity Shares,67414,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.19,75000.0,2968441.05,Buy,Equity Shares,143041,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.41,45617.0,1825000.48,Buy,Equity Shares,188658,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.56,16642.0,358915.0,Buy,Equity Shares,3743888,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.48,30846.0,801845.0,Buy,Equity Shares,3727246,Market Purchase
20MICRONS,20 Microns Limited,AJAY ISHWARLAL RANKAAJAY,Director,0.11,5691.0,204197.04,Buy,Equity Shares,45691,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.73,4648.0,116570.0,Buy,Equity Shares,3791791,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.64,15005.0,331012.0,Buy,Equity Shares,3767893,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.68,19250.0,440428.0,Buy,Equity Shares,3787143,Market Purchase
20MICRONS,20 Microns Limited,RAJESH C PARIKH,Promoters,4.74,11065.0,266269.0,Buy,Equity Shares,1682421,Market Purchase
20MICRONS,20 Microns Limited,RAJESH C PARIKH,Promoters,4.71,10200.0,236844.0,Buy,Equity Shares,1671356,Market Purchase
20MICRONS,20 Microns Limited,RAJESH C PARIKH,Promoters,4.7,1200.0,25198.0,Buy,Equity Shares,1661156,Market Purchase
20MICRONS,20 Microns Limited,RAJESH C PARIKH,Promoters,4.77,19293.0,486425.0,Buy,Equity Shares,1701714,Market Purchase
20MICRONS,20 Microns Limited,ERIEZ INDUSTRIES PVT LTD,Promoters,24.05,199700.0,5082161.0,Buy,Equity Shares,8684364,Market Purchase
20MICRONS,20 Microns Limited,ERIEZ INDUSTRIES PVT LTD,Promoters,24.05,107174.0,2727469.0,Buy,Equity Shares,8591838,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.64,15005.0,331012.0,Buy,Equity Shares,3767893,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.73,3585.0,89910.0,Buy,Equity Shares,3790728,Market Purchase
20MICRONS,20 Microns Limited,CHANDRESH S. PARIKH,Promoters,10.61,9000.0,191450.0,Buy,Equity Shares,3752888,Market Purchase
21STCENMGM,21st Century Management Services Limited,KARTHIK IYER,Immediate relative,0.0,17676.0,255000,Buy,Equity Shares,17676,Market Purchase
21STCENMGM,21st Century Management Services Limited,KARTHIK IYER,Promoter Group,0.17,293704.0,4469000,Buy,Equity Shares,311380,Market Purchase
21STCENMGM,21st Century Management Services Limited,SIDDHARTH IYER,Promoter Group,4.98,294105.0,4463000,Sell,Equity Shares,228895,Market Sale
21STCENMGM,21st Century Management Services Limited,SIDDHARTH IYER,Promoter Group,2.18,228895.0,29,Sell,Equity Shares,Nil,Market Sale
21STCENMGM,21st Century Management Services Limited,KARTHIK IYER,Promoter Group,3.43,130000.0,16,Buy,Equity Shares,490275,Market Purchase
21STCENMGM,21st Century Management Services Limited,SUNDAR IYER,Promoters,40.12,100000.0,1279000,Buy,Equity Shares,4312730,Market Purchase
21STCENMGM,21st Century Management Services Limited,KARTHIK IYER,Promoter Group,2.97,48895.0,795000,Buy,Equity Shares,360275,Market Purchase
5PAISA,5Paisa Capital Limited,Aditi Avinash Athavankar,Promoter Group,2.83,360000.0,28800000,Buy,Equity Shares,720000,Public Right
5PAISA,5Paisa Capital Limited,Madhu N Jain,Promoter Group,5.36,682508.0,54600640,Buy,Equity Shares,1365016,Public Right
5PAISA,5Paisa Capital Limited,Punam Gagdani,Immediate relative,0.02,9368.0,749440,Buy,Equity Shares,12577,Public Right
5PAISA,5Paisa Capital Limited,Prakarsh Gagdani,Director,0.07,20500.0,1640000,Buy,Equity Shares,29490,Public Right
5PAISA,5Paisa Capital Limited,Nirmal Jain,Promoters,17.51,3369009.0,269520720,Buy,Equity Shares,5600088,Public Right
5PAISA,5Paisa Capital Limited,Karan Bhagat,Other,0.39,50000.0,4000000,Buy,Equity Shares,100000,Public Right
5PAISA,5Paisa Capital Limited,Aniruddha Dange,Other,1.05,150000.0,12000000,Buy,Equity Shares,284905,Public Right
5PAISA,5Paisa Capital Limited,Nipun Goel,Other,0.42,53846.0,4307680,Buy,Equity Shares,107692,Public Right
5PAISA,5Paisa Capital Limited,Venkataraman Rajamani,Promoters,3.43,513217.0,41057360,Buy,Equity Shares,949594,Public Right
5PAISA,5Paisa Capital Limited,Aditi Athavankar,Promoter Group,0.06,8000.0,640000,Buy,Equity Shares,16000,Public Right
5PAISA,5Paisa Capital Limited,Yatin Shah,Other,0.32,40619.0,3249520,Buy,Equity Shares,81238,Public Right
5PAISA,5Paisa Capital Limited,H Nemkumar,Other,0.66,84228.0,6738240,Buy,Equity Shares,168456,Public Right
5PAISA,5Paisa Capital Limited,Vasudev Jagannath,Other,1.03,150000.0,12000000,Buy,Equity Shares,281160,Public Right
5PAISA,5Paisa Capital Limited,BHAVYAKALA NEMKUMAR BHANDARI,Other,0.06,5498.0,934660,Sell,Equity Shares,10502,Market Sale
5PAISA,5Paisa Capital Limited,ABHISHEK NEMKUMAR BHANDARI,Other,0.06,5954.0,983184,Sell,Equity Shares,10046,Market Sale
5PAISA,5Paisa Capital Limited,ABHISHEK NEMKUMAR BHANDARI,Other,0.03,10046.0,1659840,Sell,Equity Shares,Nil,Market Sale
5PAISA,5Paisa Capital Limited,MOHAN RADHAKRISHNAN,Other,0.05,12600.0,2020000,Sell,Equity Shares,1000,Market Sale
5PAISA,5Paisa Capital Limited,BHAVYAKALA NEMKUMAR BHANDARI,Other,0.04,10502.0,1736605,Sell,Equity Shares,Nil,Market Sale
5PAISA,5Paisa Capital Limited,SANTOSH JAYARAM,Director,0.0,54.0,6105,Sell,Equity Shares,92,Others
5PAISA,5Paisa Capital Limited,Prakarsh Gagdani,Director,0.12,1000.0,130000,Buy,Equity Shares,30490,Market Purchase
5PAISA,5Paisa Capital Limited,UNAM PRAKARSH GAGDANI,Immediate relative,0.05,2000.0,326000,Buy,Equity Shares,14577,Market Purchase
5PAISA,5Paisa Capital Limited,SANTOSH JAYARAM,Director,0.0,44.0,4862,Sell,Equity Shares,48,Others
A2ZINFRA,A2Z Infra Engineering Limited,Shivswaroop Gupta (HUF),Promoter Group,0.82,500000.0,6650000,Sell,Equity Shares,935802,Market Sale
A2ZINFRA,A2Z Infra Engineering Limited,Shivswaroop Gupta (HUF),Promoter Group,1.11,500000.0,6675000,Sell,Equity Shares,1435802,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.34,1000.0,523698,Sell,Equity Shares,311968,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Seema Harshit Savla,Promoter Group,3.63,25000.0,11496823,Buy,Equity Shares,871669,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Rashesh Chandrakant Gogri,Promoter Group,4.2,40000.0,17980893,Buy,Equity Shares,1019309,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.35,750.0,401583,Sell,Equity Shares,312968,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Seema Harshit Savla,Promoter Group,3.85,250733.0,0,Buy,Equity Shares,1147402,Inter-se-Transfer
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.34,500.0,259250,Sell,Equity Shares,311468,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.32,500.0,336990,Sell,Equity Shares,306718,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.33,1000.0,556069,Sell,Equity Shares,309468,Market Sale
AARTIDRUGS,Aarti Drugs Limited,HARIT P SHAH (HUF),Director,0.0,100000.0,51214816,Buy,Equity Shares,100000,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.33,750.0,426662,Sell,Equity Shares,308718,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.32,500.0,309114,Sell,Equity Shares,307718,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Seema Harshit Savla,Promoter Group,3.74,25000.0,11283454,Buy,Equity Shares,896669,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.34,1000.0,507734,Sell,Equity Shares,310468,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Anushakti Enterprise Private Limited,Promoter Group,2.41,50000.0,22251844,Buy,Equity Shares,611974,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Rajendra Vallabhaji. Gogri,Promoters,2.35,232000.0,0,Sell,Equity Shares,315474,Gift
AARTIDRUGS,Aarti Drugs Limited,Aarti Industries Ltd,Promoter Group,2.08,485291.0,0,Sell,Equity Shares,Nil,Off Market
AARTIDRUGS,Aarti Drugs Limited,Prakash M. Patil,Promoters,8.68,50000.0,22829610,Buy,Equity Shares,2073244,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Prakash M. Patil,Promoters,8.9,50000.0,23083747,Buy,Equity Shares,2123244,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Arti Rajendra Gogri,Promoter Group,1.16,235000.0,0,Sell,Equity Shares,35276,Gift
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.32,500.0,333495,Sell,Equity Shares,307218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Orchid Family Trust,Promoter Group,0.0,232000.0,0,Buy,Equity Shares,232000,Gift
AARTIDRUGS,Aarti Drugs Limited,Aashyav Business Trust,Promoter Group,0.0,350000.0,0,Buy,Equity Shares,350000,Gift
AARTIDRUGS,Aarti Drugs Limited,Tulip Family Trust,Promoter Group,0.0,235000.0,0,Buy,Equity Shares,235000,Gift
AARTIDRUGS,Aarti Drugs Limited,Jaya Chandrakant Gogri,Promoter Group,2.75,350000.0,0,Sell,Equity Shares,290978,Gift
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.35,500.0,278251,Sell,Equity Shares,314718,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.35,500.0,261283,Sell,Equity Shares,314218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.36,500.0,275815,Sell,Equity Shares,315218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.35,500.0,265795,Sell,Equity Shares,313718,Market Sale
AARTIDRUGS,Aarti Drugs Limited,GOGRI FINSERV PRIVATE LIMITED,Promoter Group,3.37,100000.0,44778610,Buy,Equity Shares,885972,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.32,500.0,339011,Sell,Equity Shares,306218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.32,500.0,313105,Sell,Equity Shares,308218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.3,20000.0,15813526,Sell,Equity Shares,282218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.31,4000.0,2978376,Sell,Equity Shares,302218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jigna Hiren Shah,Promoter Group,0.58,4016.0,4070163,Sell,Equity Shares,130790,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.48,5000.0,5004451,Sell,Equity Shares,105837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla (Momi's Trust),Promoter Group,0.72,1000.0,989910,Sell,Equity Shares,166218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla (Momi's Trust),Promoter Group,0.71,1000.0,1017036,Sell,Equity Shares,165218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Safechem Enterprises Private Limited,Promoter Group,1.7,10000.0,8587687,Sell,Equity Shares,385636,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla (Momi's Trust),Promoter Group,0.73,1000.0,886406,Sell,Equity Shares,168218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla (Momi's Trust),Promoter Group,0.72,1000.0,902082,Sell,Equity Shares,167218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jigna Hiren Shah,Promoter Group,0.6,5000.0,4599634,Sell,Equity Shares,134806,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla (Momi's Trust),Promoter Group,0.73,1000.0,881429,Sell,Equity Shares,169218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.52,5000.0,4303093,Sell,Equity Shares,115837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.54,5000.0,4087828,Sell,Equity Shares,120837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jigna Hiren Shah,Promoter Group,0.62,3000.0,2451030,Sell,Equity Shares,141806,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jigna Hiren Shah,Promoter Group,0.61,2000.0,1721772,Sell,Equity Shares,139806,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.5,5000.0,4488571,Sell,Equity Shares,110837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jaya Chandrakant Gogri,Promoter Group,1.25,35000.0,27191623,Buy,Equity Shares,325978,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.6,5000.0,3503624,Sell,Equity Shares,135837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla (Momi's Trust),Promoter Group,0.74,2000.0,1618504,Sell,Equity Shares,170218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.6,5000.0,3503624,Sell,Equity Shares,135837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.62,4713.0,3304177,Sell,Equity Shares,140837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Renil Rajendra Gogri,Promoter Group,2.66,3574.0,2500353,Sell,Equity Shares,616269,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jigna Hiren Shah,Promoters,0.63,2452.0,1718018,Sell,Equity Shares,144806,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.62,4713.0,3304177,Sell,Equity Shares,140837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Adhish P. Patil,Promoter Group,1.23,311.0,139554,Buy,Equity Shares,285802,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla  (Momi's Trust),Promoter Group,1.21,110000.0,85823587,Sell,Equity Shares,172218,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Adhish P. Patil,Promoter Group,1.22,422.0,193069,Buy,Equity Shares,285491,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Rashesh Chandrakant Gogri,Promoter Group,4.37,34636.0,26908830,Buy,Equity Shares,1053945,Market Purchase
AARTIDRUGS,Aarti Drugs Limited,Jay Manilal Savla,Promoter Group,0.58,10000.0,8042917,Sell,Equity Shares,125837,Market Sale
AARTIDRUGS,Aarti Drugs Limited,Bhoomi Harshit Savla,Promoter Group,1.07,250733.0,0,Sell,Equity Shares,Nil,Inter-se-Transfer
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.98,200000.0,315267429.87,Sell,Equity Shares,653023,Market Sale
AARTIIND,Aarti Industries Limited,RENIL RAJENDRA GOGRI,Promoter Group,3.94,12500.0,0.0,Sell,Equity Shares,3417252,Gift
AARTIIND,Aarti Industries Limited,Bhavna Family Private Trust,Promoter Group,0.0,713250.0,0.0,Buy,Equity Shares,713250,Gift
AARTIIND,Aarti Industries Limited,SARLA SHANTILAL SHAH,Promoter Group,2.21,713250.0,0.0,Sell,Equity Shares,1212636,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,1.92,2031.0,3630905.87,Sell,Equity Shares,1661745,Market Sale
AARTIIND,Aarti Industries Limited,TULIP FAMILY TRUST,Promoter Group,0.81,1701595.0,0.0,Buy,Equity Shares,2401595,Gift
AARTIIND,Aarti Industries Limited,ARTI RAJENDRA GOGRI,Promoter Group,1.64,890000.0,0.0,Sell,Equity Shares,534256,Gift
AARTIIND,Aarti Industries Limited,TULIP FAMILY TRUST,Promoter Group,2.77,811595.0,0.0,Sell,Equity Shares,1590000,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,1.91,800000.0,0.0,Sell,Equity Shares,853023,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,1.92,8722.0,15490686.65,Sell,Equity Shares,1653023,Market Sale
AARTIIND,Aarti Industries Limited,LABDHI BUSINESS TRUST,Promoter Group,1.96,800000.0,0.0,Buy,Equity Shares,2500000,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.75,8811.0,14009081.0,Sell,Equity Shares,644212,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.06,121000.0,216050344.15,Sell,Equity Shares,1663776,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.74,4000.0,6369547.0,Sell,Equity Shares,640212,Market Sale
AARTIIND,Aarti Industries Limited,SHANTILAL TEJSHI SHAH,Promoter Group,1.97,175000.0,0.0,Sell,Equity Shares,1533994,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.73,100.0,155952.0,Sell,Equity Shares,637612,Market Sale
AARTIIND,Aarti Industries Limited,SHANTILAL TEJSHI SHAH (HUF),Promoter Group,0.42,13528.0,10804459.71,Sell,Equity Shares,354558,Market Sale
AARTIIND,Aarti Industries Limited,RAJENDRA VALLABHAJI GOGRI,Key Managerial Personnel,2.86,108405.0,0.0,Sell,Equity Shares,2366495,Gift
AARTIIND,Aarti Industries Limited,SARLA SHANTILAL SHAH,Promoter Group,1.39,25000.0,0.0,Sell,Equity Shares,1187636,Gift
AARTIIND,Aarti Industries Limited,DILIP TEJSHI DEDHIA,Promoter Group,0.0,100000.0,0.0,Buy,Equity Shares,103550,Gift
AARTIIND,Aarti Industries Limited,JAYA CHANDRAKANT GOGRI,Promoter Group,4.61,800000.0,0.0,Sell,Equity Shares,3194494,Gift
AARTIIND,Aarti Industries Limited,MANOMAYA BUSINESS TRUST,Promoter Group,0.0,800000.0,0.0,Buy,Equity Shares,800000,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.73,500.0,789694.0,Sell,Equity Shares,639712,Market Sale
AARTIIND,Aarti Industries Limited,Bhavna Family Private Trust,Promoter Group,0.82,25000.0,0.0,Buy,Equity Shares,738250,Gift
AARTIIND,Aarti Industries Limited,VALIANT ORGANICS LTD,Promoter Group,0.23,8000.0,13275139.0,Sell,Equity Shares,190396,Market Sale
AARTIIND,Aarti Industries Limited,VALIANT ORGANICS LTD,Promoter Group,0.22,7996.0,12982661.0,Sell,Equity Shares,182400,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.73,40000.0,62454801.41,Sell,Equity Shares,597612,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.68,5000.0,8394052.3,Sell,Equity Shares,587612,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.69,5000.0,8023521.0,Sell,Equity Shares,592612,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,0.73,2000.0,3110212.0,Sell,Equity Shares,637712,Market Sale
AARTIIND,Aarti Industries Limited,VALIANT ORGANICS LTD,Promoter Group,0.23,4004.0,6680076.0,Sell,Equity Shares,198396,Market Sale
AARTIIND,Aarti Industries Limited,RAJENDRA VALLABHAJI GOGRI,Key Managerial Personnel,2.73,811595.0,0.0,Sell,Equity Shares,1554900,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.13,9000.0,15437583.17,Sell,Equity Shares,1836776,Market Sale
AARTIIND,Aarti Industries Limited,KIRIT RATILAL MEHTA,Key Managerial Personnel,0.04,300.0,536242.91,Sell,Equity Shares,32411,Market Sale
AARTIIND,Aarti Industries Limited,SHANTILAL TEJSHI SHAH (HUF),Promoter Group,0.42,1055.0,839058.83,Sell,Equity Shares,368086,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.18,2450.0,4415004.58,Sell,Equity Shares,1885532,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.18,500.0,793347.0,Sell,Equity Shares,1887982,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.18,1050.0,1865890.0,Sell,Equity Shares,1884482,Market Sale
AARTIIND,Aarti Industries Limited,NIKHIL HOLDINGS PRIVATE LIMITED,Promoter Group,0.38,3836.0,6652152.68,Sell,Equity Shares,321336,Market Sale
AARTIIND,Aarti Industries Limited,NIKHIL HOLDINGS PRIVATE LIMITED,Promoter Group,0.41,2400.0,4176610.84,Sell,Equity Shares,356493,Market Sale
AARTIIND,Aarti Industries Limited,NIKHIL HOLDINGS PRIVATE LIMITED,Promoter Group,0.41,409.0,734493.32,Sell,Equity Shares,358893,Market Sale
AARTIIND,Aarti Industries Limited,NIKHIL HOLDINGS PRIVATE LIMITED,Promoter Group,0.41,31321.0,54709140.08,Sell,Equity Shares,325172,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.17,5703.0,9883825.0,Sell,Equity Shares,1878779,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.17,3003.0,5183714.09,Sell,Equity Shares,1875776,Market Sale
AARTIIND,Aarti Industries Limited,NIKHIL HOLDINGS PRIVATE LIMITED,Promoter Group,0.37,3058.0,5314136.94,Sell,Equity Shares,318278,Market Sale
AARTIIND,Aarti Industries Limited,NIKHIL HOLDINGS PRIVATE LIMITED,Promoter Group,0.37,40000.0,68846455.05,Sell,Equity Shares,278278,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.16,10000.0,17359801.0,Sell,Equity Shares,1865776,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.15,1500.0,2573347.0,Sell,Equity Shares,1864276,Market Sale
AARTIIND,Aarti Industries Limited,ORCHID FAMILY TRUST,Promoter Group,0.69,920000.0,0.0,Buy,Equity Shares,1520000,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.15,13500.0,23132108.0,Sell,Equity Shares,1850776,Market Sale
AARTIIND,Aarti Industries Limited,DHANVANTI VALLABHAJI GOGRI,Promoter Group,0.1,72.0,0.0,Sell,Equity Shares,89848,Gift
AARTIIND,Aarti Industries Limited,DHANVANTI VALLABHAJI GOGRI,Promoter Group,0.1,72.0,0.0,Sell,Equity Shares,89920,Gift
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.12,16500.0,28586006.1,Sell,Equity Shares,1820276,Market Sale
AARTIIND,Aarti Industries Limited,PRASADI YOGESH BANATWALA,Promoter Group,0.01,200.0,312491.48,Sell,Equity Shares,6545,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.1,35500.0,63522627.66,Sell,Equity Shares,1784776,Market Sale
AARTIIND,Aarti Industries Limited,PRASADI YOGESH BANATWALA,Promoter Group,0.01,200.0,343075.18,Sell,Equity Shares,6245,Market Sale
AARTIIND,Aarti Industries Limited,PRASADI YOGESH BANATWALA,Promoter Group,0.01,100.0,174268.04,Sell,Equity Shares,6445,Market Sale
AARTIIND,Aarti Industries Limited,PRASADI YOGESH BANATWALA,Promoter Group,0.01,200.0,343075.18,Sell,Equity Shares,6045,Market Sale
AARTIIND,Aarti Industries Limited,PRASADI YOGESH BANATWALA,Promoter Group,0.01,100.0,179729.96,Sell,Equity Shares,5945,Market Sale
AARTIIND,Aarti Industries Limited,KIRIT RATILAL MEHTA,Key Managerial Personnel,0.04,150.0,219634.05,Sell,Equity Shares,33211,Market Sale
AARTIIND,Aarti Industries Limited,KIRIT RATILAL MEHTA,Key Managerial Personnel,0.04,100.0,186925.96,Sell,Equity Shares,33111,Market Sale
AARTIIND,Aarti Industries Limited,KIRIT RATILAL MEHTA,Key Managerial Personnel,0.04,100.0,183201.23,Sell,Equity Shares,33011,Market Sale
AARTIIND,Aarti Industries Limited,KIRIT RATILAL MEHTA,Key Managerial Personnel,0.04,100.0,171568.9,Sell,Equity Shares,32911,Market Sale
AARTIIND,Aarti Industries Limited,KIRIT RATILAL MEHTA,Key Managerial Personnel,0.04,200.0,347238.48,Sell,Equity Shares,32711,Market Sale
AARTIIND,Aarti Industries Limited,CHANDRAKANT VALLABHAJI GOGRI,Promoters,2.14,5000.0,8665191.64,Sell,Equity Shares,1845776,Market Sale
